27.97	-0.003	-0.003
27.99	-0.001	
28.10		-0.004
28.21	0.032	-0.003
28.23		-0.002
28.34	0.045	
28.45	0.049	0.000
28.46	0.049	0.000
28.48		0.003
28.59		
28.80	0.028	0.007
28.82	0.026	0.007
28.83		0.008
28.94	0.008	0.008
28.96		0.009
29.07	-0.014	
29.18	-0.031	0.008
29.20		0.007
29.31	-0.047	
29.42	-0.055	
29.53	-0.056	
29.65	-0.050	0.000
29.66	-0.049	0.000
29.67	-0.048	
29.79	-0.034	-0.002
29.80		-0.003
29.91	-0.014	-0.003
29.93	-0.011	-0.004
29.94	-0.009	-0.004
29.95	-0.007	-0.004
29.96		-0.004
30.07	0.016	-0.004
30.09		-0.003
30.20	0.036	-0.003
30.21	0.037	
30.32		0.001
30.44		0.004
30.55	0.055	0.004
30.56	0.054	0.004
30.58	0.054	0.004
30.59	0.053	0.004
30.60	0.052	0.004
30.61	0.052	
30.73	0.041	0.007
30.74	0.040	0.007
30.75	0.038	0.007
30.77	0.036	0.008
30.78	0.034	0.008
30.80	0.032	0.008
30.81	0.030	0.008
30.82		
31.03	-0.010	0.009
31.05	-0.012	0.009
31.06	-0.015	0.009
31.07	-0.018	0.009
31.09		0.008
31.20		0.006
31.31	-0.054	0.005
31.32		0.004
31.44	-0.062	
31.55	-0.062	0.001
31.56		-0.001
31.68	-0.051	-0.001
31.69		-0.003
31.80	-0.032	-0.003
31.82		-0.004
31.93	-0.008	-0.004
31.94	-0.005	-0.004
31.96	-0.002	-0.004
31.97	0.001	
32.08	0.024	
32.19	0.043	-0.001
32.21		
32.42		0.005
32.53	0.062	0.005
32.55	0.062	0.005
32.56	0.061	0.005
32.57	0.060	0.005
32.59	0.059	0.006
32.60	0.058	0.007
32.61	0.057	
32.73		
32.94	0.005	
33.05	-0.019	0.008
33.07	-0.022	0.008
33.08		0.007
33.19	-0.046	0.007
33.21		
33.42	-0.068	0.001
33.43		
33.64		
33.86	-0.017	-0.004
33.87	-0.014	-0.004
33.88	-0.011	-0.004
33.89	-0.008	
34.00	0.017	
34.12	0.040	-0.001
34.13	0.042	-0.001
34.14	0.045	0.000
34.15	0.047	0.000
34.17		0.003
34.28	0.064	0.003
34.29		0.005
34.41		0.007
34.52	0.068	0.007
34.53	0.066	0.008
34.55	0.065	0.008
34.56	0.064	0.008
34.58		0.009
34.69		0.009
34.80	0.027	0.009
34.81	0.024	
34.93	-0.002	0.008
34.94		0.005
35.06	-0.031	0.005
35.07	-0.034	0.005
35.08	-0.036	
35.20		
35.41	-0.074	-0.001
35.42	-0.074	-0.002
